Username,Posts,Followers,Following,Account Type
tahlia_coutinho,1417,341000,586,Public Figure
tigerpopofficial,971,343000,587,Artist
welcometodeepaliworld,389,349000,37,Fashion Model
simran_bagga_official,213,352000,12,Personal Blog
lionelmessi_in,2863,363000,150,None
iampayalsharma3,355,368000,35,None
thewritersaying,10574,372000,1009,Media/News Company
tirbofc,3226,373000,47,News & Media Website
trainingfervor,1758,385000,52,None
third.eye.thought,10239,386000,3948,Community
ankita_____dave007,1283,391000,0,Personal Blog
samreenkaur__,340,409000,32,Actor
vishakhadhiman_,449,409000,8,Artist
ridtiwari,3739,418000,1105,Actor
squawkafootball,14404,420000,846,None
jackjonesindia,3311,426000,4,None
divyankasirohi_,116,428000,143,Artist
srkuniverse,14827,448000,46,Actor
twinkle.sharmaa,554,452000,305,Fashion Model
akritiagarwal7,174,466000,77,Artist
juhi_kritika,1842,468000,384,Video Creator
pooja_823,943,479000,675,Artist
jolly_bhatia,861,483000,284,Actor
successparty,2848,523000,0,Community
karrishmakarofficial,1184,534000,656,Actor
risingballers,6150,535000,3041,Media/News Company
success.portal,3329,535000,9,Community
ruchirajofficial,3037,536000,836,Public Figure
alexpenfold,7283,547000,1468,Photographer
arbaia_islam_ar,1685,550000,1196,None
i_nibedita,1115,579000,611,Actor
riya_kishanchandani,852,589000,237,Artist
espnuk,11814,590000,299,Media/News Company
fearlessmotivationofficial,8098,599000,2351,Musician/Band
rajputharshjayesh,1330,626000,614,Actor
preksha_rana_official,809,628000,77,None
arushi.handa.official,1175,632000,761,Artist
aaryavora,1933,648000,335,Digital Creator
beauty.bangladesh,7256,648000,3227,Local Business
elenarmf,2844,702000,811,Actor
sanjnasinghofficial,413,709000,57,Actor
awareness_of_success,2433,746000,104,Community
santoshishetty,8016,753000,1075,Artist
theindianidiot,6053,756000,374,Media/News Company
modelss_hubbb,6060,772000,228,None
cristianofansofficial_cfo,2367,784000,14,Athlete
ritusharma8799,2828,794000,268,None
runningterritory,7595,800000,121,None
saree_angelss,2961,802000,1074,None
ishaanandsharmaofficial,852,831000,409,Public Figure
scarlettmrose,967,837000,479,Public Figure
ajiolife,2548,841000,317,None
nyra_banerjee,946,852000,872,Arts & Entertainment
khwahish_gal,1017,897000,52,Artist
donalbisht,1477,904000,672,Actor
sachettandonofficial,850,906000,263,Musician/Band
radhikasethh,1525,906000,372,None
richi.shah,1022,924000,429,Blogger
namritamalla,1758,940000,377,Artist
blaugrana,36933,945000,511,Media
parimomo123,1695,968000,107,Artist
barcalegends,644,1000000,57,Sports Team
ronaldism7,304,1000000,154,Fan Page
mihir_g,513,1000000,161,None
meghaguptaofficial,1508,1000000,1023,None
redchilliesent,3251,1000000,41,None
sourabhraaj.jain,524,1000000,171,Artist
nykaafashion,3820,1000000,13,Website
the_deep_thinker,4350,1100000,95,None
ektainlove,5356,1100000,0,Media
zaarayesmin,730,1100000,100,Actor
tattooselection,1867,1100000,24,Art
footballdailyuk_,6935,1100000,212,Recreation & Sports Website
__suhuuu__,1117,1100000,68,Public Figure
the.success.club,5323,1100000,122,Consulting Agency
piyush_bhagat,594,1100000,522,Arts & Entertainment
gulati06,2023,1100000,223,Artist
offroaddynasty,7347,1200000,237,Product/Service
creative.tatts,6832,1200000,4763,Art
cr7.gallery,4651,1200000,63,Fan Page
aahanakumra,4425,1300000,1264,Artist
artisingh5,2985,1300000,885,Actor
urf7i,1807,1300000,241,Artist
fcbayerncampus,5766,1400000,73,Sports Team
aditi_budhathoki,1299,1400000,714,Artist
shobhitaranaofficial,621,1400000,329,Actor
symrann.k,918,1400000,96,Public Figure
prachi.256,414,1500000,108,Actor
aryanshii09,445,1600000,436,Video Creator
classicsdaily,16202,1700000,959,Blogger
footballworlds,5093,1700000,162,None
thebusinesshacks,1844,1900000,22,Entrepreneur
katesharma,2024,1900000,80,Actor
dabbooratnani,2957,1900000,1268,Public Figure
purabibhargava_13,667,2000000,172,Artist
ttt_official,17293,2000000,1,None
btsport,13643,2000000,121,None
nikki_tamboli,690,2100000,130,Actor
scoopwhoop,10655,2100000,52,None
komal_sharma60,12444,2100000,13,None
footballjoe,7588,2300000,253,None
disha_waliyaa,4638,2400000,7085,Personal Blog
nabhanatesh,520,2400000,384,Actor
barkhasingh0308,2113,2400000,1031,Public Figure
black_list,15785,2400000,237,Community
divyaagarwal_official,1605,2500000,828,Actor
wealth,2560,2600000,390,Brand
sophiechoudry,2919,2600000,426,Musician
saragurpals,2663,2700000,110,Actor
nehamalik335,5194,2800000,3,Artist
foundr,14530,3100000,236,Education
_dekhbhai_,29885,3300000,354,Digital Creator
pinkvilla,46791,3900000,703,Digital Creator
neerubajwa,2827,4000000,238,None
tattooinkspiration,3371,4300000,21,Art
aslimonalisa,2519,4400000,418,None
thegoodquote.co,5113,5000000,3,Website
rvcjinsta,81731,5300000,44,Media/News Company
tseries.official,17437,5500000,81,Record Label
manishmalhotra05,6309,6400000,590,None
skysports,15681,7300000,1451,None
raghavjuyal,2947,8300000,1564,Artist
gima_ashi,893,8600000,379,None
bvb09,7229,13100000,91,None
filmygyan,21297,14600000,134,Media/News Company
kingarturo23oficial,1858,14700000,380,None
fifaworldcup,9104,20000000,1177,None
mancity,13315,24100000,202,None
fcbayern,13572,26700000,60,None
jamesrodriguez10,966,46500000,742,Athlete
